Institute_Name,NBA_Status,Valid_Until,last_updated,
" Government Polytechnic, Jaipur ",Accredited,18-01-2026,14-06-2024,
"Raghu Polytechnic, Kota",Not Accredited,01-08-2025,23-02-2023,
"Vignan College of Engineering and Technology, Jalandhar",Accredited,,06-05-2023,
National Institute of Technology,ACCREDITED,09-11-2026,22-01-2023,
Ludhiana Siddhartha College Of Engineering,accredited,23-09-2026,28-11-2023,
"GOVERNMENT ENGINEERING COLLEGE, SOLAPUR",Accredited,04-05-2026,19-07-2023,
"  Government Engg. College, Kota ",Accredited,29-08-2025,04-01-2024,
  Karunya Institute of Engineering and Technology ,Accredited,,21-06-2024,
"Lendi Colg. of Engg. & Tech., Siliguri..",Not Accredited,28-10-2026,23-10-2023,
"Lendi College of Engineering & Technology, Sambalpur",not accredited,24-05-2026,26-03-2024,
"National Institute of Technology, Guntur.",ACCREDITED,10-11-2025,15-03-2023,
Kharagpur National Institute Of Technology,not accredited,12-03-2026,17-04-2023,
"  Government Engg. College, Ballari ",Not Accredited,17-12-2025,03-03-2024,
"Government College of Engineering, Junagadh. ,",not accredited,21-11-2025,18-05-2023,
"Government Engineering College, Bhavnagar",not accredited,21-03-2026,12-07-2023,
"Sri Sathya Sai Engineering College, Vizianagaram",Accredited,01-12-2026,31-01-2023,
"BMS Polytechnic, Bhavnagar.",accredited,01-03-2026,20-06-2024,
"Government  Engineering College, Warangal",not accredited,,31-03-2023,
"Geethanjali Engg. College, Amritsar",Not Accredited,31-10-2025,26-03-2023,
"Amrita College of Engineering, Nizamabad",Not Accredited,07-01-2026,03-01-2023,
"National Institute of Technology, Berhampur",Not Accredited,20-11-2025,06-01-2023,
"Kumaraguru College of Engineering, Sambalpur",accredited,01-06-2026,02-10-2023,
"SALEM GOVERNMENT POLYTECHNIC ,",not accredited,08-11-2025,28-04-2023,
Kalasalingam Colg. of Engg. & Tech.,Not accredited,21-10-2025,03-01-2023,
"Lokmanya Poly., Varanasi",ACCREDITED,16-12-2025,03-04-2024,
"Sreenidhi Engineering College, Kolhapur",accredited,,08-04-2023,
"Sri Venkateswara Engineering College, Jabalpur",ACCREDITED,02-03-2026,20-06-2023,
"NATIONAL INSTITUTE OF TECHNOLOGY, BELAGAVI",Not accredited,25-08-2025,25-02-2023,
"  Raghu Institute of Technology, Bikaner ",not accredited,30-12-2025,13-05-2023,
RV Institute of Technology,not accredited,31-10-2026,28-09-2023,
"National Institute of Technology, Siliguri ,",Not accredited,31-05-2026,17-03-2023,
K.S.R. Institute Of Engineering And Technology,Not Accredited,,07-04-2024,
Sardar Institute of Technology,not accredited,02-11-2025,30-05-2024,
"  Lendi  College of Engineering and Technology, Hubballi ",Not Accredited,10-09-2026,27-06-2023,
"Sreyas  Engineering College, Vadodara ,",not accredited,19-01-2026,21-03-2024,
"Ratnagiri Inst. of Tech., Ratnagiri",accredited,18-10-2026,13-05-2024,
Nanded Engineering College,Accredited,01-10-2026,24-07-2023,
"Raghu Institute Of Technology, Bikaner ,",Accredited,01-01-2026,19-08-2023,
"NATIONAL INSTITUTE OF TECHNOLOGY, SILIGURI.",Accredited,21-10-2026,24-02-2023,
