[Institute_Name,State,Flag_Reason,last_updated
"Vaagdevi College Of Engineering And Technology, Kolkata",Kolkata,Staff qualification not verified,21 Feb 2023
"Raghu Institute of Technology, Bikaner",Bikaner,Missing mandatory approvals,08 Apr 2023
"Ideal Institute of Technology and Science, Davanagere",Davanagere,,05 Jul 2023
  Government Polytechnic ,Vellore,Fee regulation violation,27 Jun 2023
"Kakatiya Institute Of Technology And Science, Howrah",Howrah,AICTE code mismatch,12 Jul 2023
"Government College of Engineering, Coimbatore",Coimbatore,Fee regulation violation,31 Mar 2023
" Sree College of Engineering, Jodhpur ",Jodhpur,AICTE code mismatch,18 Sep 2023
"Government Polytechnic, Kadapa",Kadapa,Pending NBA accreditation,09 Oct 2023
Ujjain National Institute Of Technology,Ujjain,Missing mandatory approvals,22 Feb 2024
"Bharat Institute of Technology, Bathinda",Bathinda,,17 Apr 2023
  Lokmanya College Of Engineering And Technology ,Kadapa,Pending NBA accreditation,21 Jan 2024
"  Amrita College of Engineering, Nizamabad. ",Nizamabad,Land documents pending,10 Apr 2023
" National Institute of Technology, Belagavi ",Belagavi,Staff qualification not verified,26 Sep 2023
"Government Engineering College, Vellore",Vellore,Staff qualification not verified,20 May 2023
"Government College of Engineering, Warangal",Warangal,,25 Aug 2023
"Kalasalingam College of Engineering and Technology, Karimnagar",Karimnagar,AICTE code mismatch,14 May 2023
"Sardar Engineering College, Junagadh",Junagadh,Land documents pending,18 Aug 2023
"Sreyas Engineering College, Vadodara",Vadodara,Staff qualification not verified,19 Aug 2023
Sree Dattha Engineering College and Technology,Kolhapur,Staff qualification not verified,19 Feb 2023
"National Institute of Technology, Udaipur",Udaipur,Pending NBA accreditation,28 Jan 2024
"Raghu Institute of Technology, Coimbatore",Coimbatore,Missing mandatory approvals,03 Jun 2024
"  NATIONAL INSTITUTE OF TECHNOLOGY, JABALPUR. ",Jabalpur,Pending NBA accreditation,01 Jan 2024
  Junagadh Thapar Institute of Engineering and Technology ,Junagadh,Pending NBA accreditation,30 Mar 2024
"National Institute of Technology, Siliguri",Siliguri,Missing mandatory approvals,26 Sep 2023
"Andhra Engineering College, Nizamabad",Nizamabad,Staff qualification not verified,17 Dec 2023
"Karunya Institute of Engineering and Technology, Bhopal",Bhopal,Pending NBA accreditation,30 May 2023
"Anurag Institute of Technology, Salem",Salem,Land documents pending,28 Aug 2023
"Thiagarajar Engineering College, Ujjain",Ujjain,AICTE code mismatch,25 Mar 2024
"Sreyas College of Engineering and Technology, Karimnagar",Karimnagar,Land documents pending,07 Mar 2024
"Lokmanya Engineering College, Meerut",Meerut,Land documents pending,20 Jul 2023
"Mahatma Gandhi Institute of Technology and Science, Varanasi",Varanasi,Missing mandatory approvals,24 Sep 2023
"Sri Venkateswara Institute of Technology and Science, Kolhapur",Kolhapur,Land documents pending,20 Aug 2023
"Kongu Poly., Kurnool.",Kurnool,Fee regulation violation,11 Mar 2023
"GOKARAJU INSTITUTE OF TECHNOLOGY AND SCIENCE, WARANGAL",Warangal,Pending NBA accreditation,18 Oct 2023
"St. Mary's Colg. of Engg. & Tech., Kota.",Kota,Land documents pending,05 Oct 2023
" Aditya Institute of Engineering and Technology, Salem ",Salem,,10 Jun 2023
" Sinhgad Engineering College, Belagavi ",Belagavi,Fee regulation violation,05 Jan 2023
"Raghu Polytechnic, Kota",Kota,Pending NBA accreditation,17 Feb 2023
Kharagpur Old Polytechnic,,Pending NBA accreditation,16 Jul 2023
"BIKANER TECHNICAL COLLEGE, BIKANER",Bikaner,Pending NBA accreditation,21 May 2024
  Kolkata SRM Institute of Engineering and Technology ,Kolkata,Listed in unapproved register despite active approval,16 Dec 2023
Vaagdevi College of Engineering and Technology,Sambalpur,Listed in unapproved register despite active approval,12 Jan 2024
Belagavi Chaitanya Engineering College,Belagavi,AICTE code mismatch,22 Feb 2024
